ID,READER,SUBSET,PROJ.,BOOK ID,CH. TITLE,PROJECT TITLE,SEX,NAME
198,19,train-clean-100,219,121,Chapter 01,Northanger Abbey, F , Kara Shallenberg
352,166,train-clean-360,381,84,04 - Chapter 5,"Frankenstein, or The Modern Prometheus", F , Paula Berinstein
395,1724,train-clean-360,508,5682,1 Transition from the common rational knowledge of morality to the philosophical,Fundamental Principles of the Metaphysic of Morals, F , Anna Simon
407,2952,train-clean-100,569,1210,Of A Mirror and a Bell,Kwaidan: Stories and Studies of Strange Things, M , Scott Carpenter
495,26,train-clean-100,629,376,Part 1,Journal of the Plague Year, M , Denny Sayers
668,920,train-clean-360,743,28054,06 - Book 2 Chapter 1 - They Arrive at the Monastery,Brothers Karamazov, F , Sarah Bean
861,329,train-clean-360,762,3429,09 - The Siege of Hennebon,Saint George for England, M , Todd Cranston-Cuebas
890,3945,train-clean-360,786,2775,"08 - Part 2, Section 2",Good Soldier, M , Floyd Wilde
960,2961,test-clean,842,1572,01 - Introduction and Analysis: opening remarks,Timaeus, F , Leni
1043,1112,train-clean-360,882,434,A SPRAINED ANKLE,Circular Staircase, M , RedToby
1119,345,train-clean-360,969,1342,05 - Chapter 7,Pride and Prejudice (version 5), M , Micah Sheppard
1180,1284,test-clean,1045,955,02 - The Crooked Magician,Patchwork Girl of Oz, F , Daniel Anaya
1240,103,train-clean-100,1168,45,Mrs. Rachel Lynde Is Surprised,Anne of Green Gables (version 3), F , Karen Savage
1532,1417,train-clean-360,1331,2607,04 Bat Jarvis,"Psmith, Journalist", F , Psuke Bariah
1560,1748,train-clean-360,1337,325,01 - Chapter - 01,Phantastes, M , Brad Powers
1730,56,train-clean-360,1545,1399,Book 1 - Chapter 01,"Anna Karenina, Book 1", F , Kirsten Ferreri
1826,1995,test-clean,1591,15265,03 - Miss Mary Taylor,Quest of the Silver Fleece, F , AJai Hilton
2271,4446,test-clean,1797,94,Chapter 02,Alexander's Bridge (version 3), F , Jen Maxwell
2301,816,train-clean-360,1824,165,Chapter 17,McTeague, M , Jeff Robinson
2327,7085,train-clean-360,1894,1477,Forewarned,Toys of Peace, M , voicebynatalie
2476,2436,train-clean-100,1922,19066,04 - Chapter 04,Brigands of the Moon, M , Seth Adam Sher
2536,1806,train-clean-360,1930,2275,00 - Introduction,"Pioneers, or The Sources of the Susquehanna", M , Gary W. Sherwin
2772,4108,train-clean-360,1985,2005,Mrs. Pett Takes Precautions,Piccadilly Jim, M , garymacf
3054,83,train-clean-100,2041,3154,Chapter 15,Surprising Adventures of Baron Munchausen, F , Catharine Eastman
3185,6019,train-clean-100,2116,1831,"The Avenger, part 1",Lock and Key Library, M , DerekP
3582,4116,train-clean-360,2199,2770,Polly is Comforted,Five Little Peppers and How They Grew (Version 2), F , Amy Benton
3961,8080,train-clean-360,2312,19264,Hollyhock,Genji Monogatari (The Tale of Genji), F , e.a.zokaites
3979,2830,test-clean,2319,1549,00 - Preface,Commentary on St. Paul's Epistle to the Galatians, M , Tim Perkins
4136,2816,train-clean-360,2354,2046,01 - The Negro Sale,"Clotel, or, The President's Daughter", M , Andrew Symons
4275,2971,train-clean-360,2405,5265,01 - A Discussion Somewhat in the Air,Ball and the Cross, M , Matthew C. Heckel
4445,30,train-clean-360,2457,158,"1-01 Volume 1, Chapter 1",Emma (version 4), F , Annie Coleman Rothenberg
4654,2598,train-clean-360,2494,17125,The Knight at Arms,More William (version 2), F , Barbara Bulkeley
4687,3228,train-clean-360,2495,1252,Bk 12 Chapters 08-14,Morte d'Arthur - Vol. 2, F , Benuathanasia
4731,209,train-clean-360,2497,158,"Volume One, Chapter Three",Emma (version 5), F , Moira Fogarty
4861,5389,train-clean-360,2525,7277,23 - King Kojata,Green Fairy Book, M , Joseph Lawler
4923,3807,train-clean-100,2528,3424,Book 02  Macquarie Harbour. 1833. Chapter 10  John Rex's Revenge,For the Term of His Natural Life, M , Jesse Noar
5083,5333,train-clean-360,2545,7025,10 - Vol.1 Chp 4,Rob Roy, M , Robert Fletcher
5140,2136,train-clean-100,2558,14851,A New Face,Uncle Silas, M , Great Plains
5330,1066,train-clean-360,2575,3322,04 - Ch. 04: The Moonlight Interview,East Lynne, F , Laurie Anne Walden
5416,3448,train-clean-360,2592,4675,The Hues of Love,Sea-Witch, M , Todd Lennon
