Title,Poet,urls
Hoffnung,Amy Gerstler,https://www.poetryfoundation.org/poetrymagazine/poems/56097/hoffnung
First Rites,Micah Ballard,https://www.poetryfoundation.org/poems/54968/first-rites
Flesh of John Brown's Flesh: 2 December 1859,Geoffrey Brock,https://www.poetryfoundation.org/poems/51507/flesh-of-john-browns-flesh-2-december-1859
Butter,Andrea Cohen,https://www.poetryfoundation.org/poetrymagazine/poems/53197/butter-56d23247d9a94
Stepping Out of the Light,Forrest Gander,https://www.poetryfoundation.org/poetrymagazine/poems/144806/stepping-out-of-the-light
A Poet’s Death,David Trinidad,https://www.poetryfoundation.org/poems/51146/a-poets-death
Mild Dry Lines: An Exchange,Christian Wiman,https://www.poetryfoundation.org/poetrymagazine/poems/151736/mild-dry-lines-an-exchange
Anger,April Bernard,https://www.poetryfoundation.org/poetrymagazine/poems/56993/anger-56d23a088c380
Salt,Melissa Broder,https://www.poetryfoundation.org/poetrymagazine/poems/57571/salt-56d23b37443fb
"I Know, I Remember, But How Can I Help You",Hayden Carruth,https://www.poetryfoundation.org/poems/42586/i-know-i-remember-but-how-can-i-help-you
Railway,Fred D'Aguiar,https://www.poetryfoundation.org/poetrymagazine/poems/51950/railway
Leviathan,George Oppen,https://www.poetryfoundation.org/poems/53221/leviathan-56d2325279712
Break of Day in the Trenches,Isaac Rosenberg,https://www.poetryfoundation.org/poetrymagazine/poems/13535/break-of-day-in-the-trenches
Dworzec,Emily Pérez,https://www.poetryfoundation.org/poems/91993/dworzec
"The Dogs at Live Oak Beach, Santa Cruz",Alicia Ostriker,https://www.poetryfoundation.org/poems/50826/the-dogs-at-live-oak-beach-santa-cruz
Portrait of the Alcoholic Floating in Space with Severed Umbilicus,Kaveh Akbar,https://www.poetryfoundation.org/poetrymagazine/poems/90648/portrait-of-the-alcoholic-floating-in-space-with-severed-umbilicus
Saul Bass Redesigns the First Man,Emilia Phillips,https://www.poetryfoundation.org/poetrymagazine/poems/56637/saul-bass-redesigns-the-first-man
Elegy for Bruce Lee,W. Todd Kaneko,https://www.poetryfoundation.org/poetrymagazine/poems/153505/elegy-for-bruce-lee
Victory Parade,Frederick Seidel,https://www.poetryfoundation.org/poetrymagazine/poems/55734/victory-parade
Norroway in February,Hannah Sanghee Park,https://www.poetryfoundation.org/poetrymagazine/poems/56566/norroway-in-february
Animal Farm,Marcus Wicker,https://www.poetryfoundation.org/poetrymagazine/poems/55083/animal-farm
@Allah,Anjuli Fatima Raza Kolb,https://www.poetryfoundation.org/poems/146268/allah
Prologue—And Then She Owns You,Patricia Smith,https://www.poetryfoundation.org/poems/55709/prologue-and-then-she-owns-you
"Afrofuturism (Blanche says, “Meh”)",Douglas Kearney,https://www.poetryfoundation.org/poetrymagazine/poems/57403/afrofuturism-blanche-says-meh
On Hurricane Jackson,Alan Dugan,https://www.poetryfoundation.org/poems/55174/on-hurricane-jackson-56d236727ae2a
The Friends of Heraclitus,Charles Simic,https://www.poetryfoundation.org/poems/55187/the-friends-of-heraclitus
The Toll of the Sea,Sally Wen Mao,https://www.poetryfoundation.org/poetrymagazine/poems/57884/the-toll-of-the-sea
At Night the States,Alice Notley,https://www.poetryfoundation.org/poems/50834/at-night-the-states
Beulah peel me a grape,Patricia Spears Jones,https://www.poetryfoundation.org/poems/90618/beulah-peel-me-a-grape
Total Information Awareness,John Beer,https://www.poetryfoundation.org/poems/53661/total-information-awareness
"Sonnet 29: When, in disgrace with fortune and men’s eyes",William Shakespeare,https://www.poetryfoundation.org/poems/45090/sonnet-29-when-in-disgrace-with-fortune-and-mens-eyes
Sitting with Others,Rodney Jones,https://www.poetryfoundation.org/poems/51741/sitting-with-others
Roadrunners,André Naffis-Sahely,https://www.poetryfoundation.org/poems/149564/roadrunners
Giant Night,Anne Waldman,https://www.poetryfoundation.org/poems/43029/giant-night
