performance_id,arrangement_id
100838840_1636300599, 3770948_3770948
1009119594_2126186724, 3772221_3772221
101304813_2186385057, 3769415_3769415
1013178350_1788897375, 3769777_3769777
1013178350_1930377629, 3769836_3769836
1013311575_1876914618, 3769676_3769676
1013679610_1731262161, 3769443_3769443
1013679610_1966733030, 3769826_3769826
101605327_2125844134, 3770185_3770185
102283998_1990984166, 3771973_3771973
1025070442_2000847464, 3769897_3769897
102656474_1644580756, 3770185_3770185
102673822_1746982667, 3771841_3771841
1026971333_1878674225, 3771478_3771478
1027314259_2012766741, 3770403_3770403
1028662912_1693050215, 3770467_3770467
1028662912_1863591391, 3771457_3771457
1028777175_1771213800, 3771478_3771478
1028777175_1771275831, 3770960_3770960
1031301047_1657751206, 3769836_3769836
1035467538_2238282778, 3770803_3770803
1039667910_1631699392, 3769836_3769836
1040923528_2080393084, 3771478_3771478
1040994231_1971409096, 3769946_3769946
104286795_1601662696, 3770473_3770473
1047315514_2026299190, 3772206_3772206
1047325519_2231292133, 3771723_3771723
1047477746_2242071883, 3771601_3771601
1049056592_1609868009, 3769836_3769836
1054539843_2018528179, 3769899_3769899
1062000754_2055944353, 3770023_3770023
106254879_1786399131, 3771973_3771973
106275040_1762876655, 3770831_3770831
106556720_2211086981, 3772033_3772033
1066342873_1760509764, 3769643_3769643
1070277330_1529027144, 3771902_3771902
1070277330_1822693948, 3771902_3771902
1072509036_1642053507, 3770253_3770253
1076929229_1561200175, 3771107_3771107
1079537692_2053213329, 3769434_3769434
1080760812_2356961252, 3770428_3770428
1084448820_1924974520, 3770994_3770994
1086597157_1836637352, 3771242_3771242
1087843743_1819627529, 3772179_3772179
1088627457_1628520663, 3770160_3770160
1094627008_2338475504, 3771478_3771478
1100476605_1952999147, 3771169_3771169
1102104435_1529029806, 3770467_3770467
1103717529_2160109958, 3770295_3770295
1104976636_2200016529, 3769776_3769776
1107138383_2039452570, 3770602_3770602
1118781094_1937866789, 3770185_3770185
1118956014_2212240469, 3769590_3769590
112106882_2193170047, 3769730_3769730
112106882_2193184723, 3771116_3771116
1121201827_1892408134, 3770468_3770468
1124457318_1854518968, 3771988_3771988
1126141922_1673382280, 3771116_3771116
1127746754_1959898814, 3769415_3769415
112914088_1666659237, 3770803_3770803
1133911812_1988654111, 3771025_3771025
1135585131_1865745808, 3771829_3771829
114068553_1884419719, 3769397_3769397
1145564814_1548183581, 3772088_3772088
1148694583_1924694120, 3772190_3772190
115109795_1548719432, 3769643_3769643
115140757_1760224126, 3770267_3770267
115547343_1672930013, 3771494_3771494
1159686409_1859761436, 3771800_3771800
1167292203_1597740716, 3769402_3769402
1167292203_1930357505, 3770017_3770017
1167292203_1933174376, 3771259_3771259
1171992543_1900538891, 3771712_3771712
117205685_1647228201, 3771456_3771456
1178021112_1986543217, 3769643_3769643
1179264081_2204734923, 3771645_3771645
1179726768_1728822935, 3772190_3772190
1181240566_1576759027, 3770968_3770968
1185068055_1623534711, 3771413_3771413
1186135284_1995569552, 3771478_3771478
118700482_2312533706, 3770672_3770672
1187660719_1655198231, 3769592_3769592
1204409037_2075060303, 3771860_3771860
1208255698_2043953856, 3771489_3771489
1208255698_2119100307, 3770715_3770715
1210363701_1882610253, 3772033_3772033
121118009_1862443499, 3771478_3771478
1211801144_1998236583, 3769411_3769411
121868918_2344140124, 3772081_3772081
1227966751_1577210816, 3771478_3771478
1231658426_1862423145, 3769382_3769382
123497046_1927640957, 3772190_3772190
1236053598_1580501583, 3770965_3770965
1237835549_1883820811, 3771478_3771478
1238469549_2087379232, 3770803_3770803
1238873875_2130951892, 3769329_3769329
124047117_1778735863, 3770803_3770803
1246830894_1624940981, 3770602_3770602
1248154086_1520420685, 3770431_3770431
124945966_1649357220, 3772019_3772019
1259431475_2299317385, 3769643_3769643
1260811275_1644199523, 3769585_3769585
1261498790_2096010704, 3769345_3769345
1264237947_1620603577, 3771271_3771271
126636953_1652647883, 3770671_3770671
126636953_1744270649, 3769861_3769861
126678829_2251531907, 3770959_3770959
1267141869_1783988635, 3770978_3770978
1267141869_2087568464, 3771354_3771354
1267141869_2181019011, 3771354_3771354
1269035396_1757436687, 3769345_3769345
1269035396_2111865047, 3770959_3770959
1271954664_2070585862, 3772000_3772000
127237225_1785937716, 3772049_3772049
1276873554_1949617384, 3771687_3771687
1278684664_2048812010, 3769508_3769508
128011322_1850381907, 3769501_3769501
1281832033_1939468085, 3770454_3770454
1281954410_1737147560, 3769411_3769411
1288189022_2068285094, 3770181_3770181
1288532602_1775797070, 3769897_3769897
1288532602_2087382293, 3770948_3770948
1288532602_2099037616, 3771391_3771391
1290017016_1551060453, 3770948_3770948
1291286224_1993413610, 3771031_3771031
129142842_1929944408, 3770352_3770352
1296203001_1739196352, 3770295_3770295
1296411830_1815796191, 3771225_3771225
1296962893_2050589648, 3769434_3769434
1297249713_1556263033, 3769676_3769676
1297857803_1584908807, 3770303_3770303
1299473214_1720626612, 3769942_3769942
1299597016_1865194754, 3769899_3769899
130677649_1650263837, 3770307_3770307
1308420037_2286172463, 3769319_3769319
1310096067_1966358510, 3769643_3769643
131147574_2198194707, 3771478_3771478
131829719_1766532554, 3769524_3769524
1320586109_1704225469, 3769841_3769841
1320586109_2012526438, 3770960_3770960
1323366666_1777639670, 3770496_3770496
1325910306_1762959518, 3771611_3771611
1326326037_1678897492, 3771478_3771478
1327330032_2111935953, 3770324_3770324
1336527303_1784290420, 3771478_3771478
1336679668_1828427919, 3770715_3770715
1337596374_1874651177, 3770532_3770532
1338198783_1747717043, 3772190_3772190
1338198783_1905000297, 3772190_3772190
134032765_1775528573, 3771723_3771723
1341892365_1888576516, 3771116_3771116
1342000238_1573123604, 3771902_3771902
1345816421_1563993326, 3772019_3772019
1346935955_2140069621, 3771208_3771208
134845947_1968470641, 3769319_3769319
134845947_1983839081, 3769590_3769590
134845947_2157654420, 3772170_3772170
1350325212_2327051224, 3770532_3770532
1350544562_1942595038, 3771374_3771374
1351927251_1575980453, 3772019_3772019
135332340_1649681048, 3769577_3769577
1354186047_1636329289, 3771478_3771478
1354794416_1607213698, 3769477_3769477
1358632068_1763410098, 3770803_3770803
1361998933_1596308466, 3772019_3772019
1362235452_1620560268, 3770098_3770098
1362235452_1676269031, 3771034_3771034
1362952492_1598353371, 3771478_3771478
1365988085_1604415490, 3769810_3769810
1366568949_1990874666, 3771208_3771208
1367585310_2294245910, 3770570_3770570
1370609493_2114755734, 3771025_3771025
1370609493_2117225541, 3770479_3770479
1371190866_1993855563, 3769590_3769590
1371412711_1631295531, 3769458_3769458
1371412711_1645083244, 3770295_3770295
1371412711_1664795750, 3769836_3769836
1371412711_1712932096, 3770512_3770512
1371412711_1739539199, 3771478_3771478
1371412711_1767890605, 3770326_3770326
1371412711_1789174735, 3770123_3770123
1371412711_1913033353, 3770431_3770431
1371412711_2227253903, 3772179_3772179
1371412711_2233849393, 3771225_3771225
1371412711_2331886954, 3770326_3770326
1372368036_1949056005, 3770885_3770885
1375320601_1622460646, 3772019_3772019
137532560_2045890355, 3770352_3770352
1377460944_2172173561, 3772152_3772152
1378557537_1760680230, 3772088_3772088
1378599734_1876744065, 3770089_3770089
1378678869_1631244762, 3771478_3771478
1378987696_1631239944, 3770948_3770948
1379643438_1794647064, 3770532_3770532
1379959202_1631260403, 3770948_3770948
1380164476_1971862808, 3770098_3770098
138091211_1655749675, 3771107_3771107
1380948732_1889719677, 3771152_3771152
1382752936_2026916636, 3770496_3770496
1385616842_2060634940, 3770671_3770671
1385626570_1662780469, 4180100_4180100
1385724784_1644584963, 3770803_3770803
138720585_2090002908, 3771723_3771723
138863926_1819985953, 3771311_3771311
